nama lokasi,deskripsi,lat,lon
TK SINAR HARAPAN,Fasilitas Pendidikan Taman Kanak-kanak,-7.6931365,111.3188413
SDN SELOTINATAH 01,Fasilitas Pendidikan Sekolah Dasar,-7.69163,111.32048
SDN SELOTINATAH 02,Fasilitas Pendidikan Sekolah Dasar,-7.6998045,111.317756
SDN SELOTINATAH 03,Fasilitas Pendidikan Sekolah Dasar,-7.6932464,111.3192711
SDN SELOTINATAH 04,Fasilitas Pendidikan Sekolah Dasar,-7.7061632,111.3150564
SMPN 02 NGARIBOYO,Fasilitas Pendidikan Sekolah Menengah Pertama,-7.6947250,111.3166419
PONDOK PESANTREN AL-MUJAHIDIN,Fasilitas Pendidikan Keagamaan,-7.7002414,111.3191928
PONDOK PESANTREN ALMUJAHIDIN,Fasilitas Pendidikan Keagamaan,-7.6980622,111.317942
MASJID AL HIKMAH,Tempat Ibadah,-7.6946811,111.3054752
MASJID BAITUL NAIM,Tempat Ibadah,-7.699115,111.3176472
MASJID JAMIATUT THOLIBIN,Tempat Ibadah,-7.7016199,111.3104588
MASJID BAITUN'NAIM,Tempat Ibadah,-7.695117,111.318225
MASJID AL MUJAHIDIN,Tempat Ibadah,-7.700981,111.3172317
MASJID NURUL HUDA,Tempat Ibadah,-7.7106153,111.2905848
MASJID AL-HIKMAH JLAMPRANG,Tempat Ibadah,-7.6947011,111.3029368
Masjid Khoirul Huda (LDII),Tempat Ibadah,-7.690013,111.315373
MUSHOLLA AL-IKHLAS,Tempat Ibadah,-7.7009327,111.2992069
MUSHOLLA DARUL HIDAYAH DANYANG,Tempat Ibadah,-7.70900,111.30977
MUSHOLLA NURUL IMAN,Tempat Ibadah,-7.7107014,111.2905848
MUSHOLLA BAITUN MUHLISIN,Tempat Ibadah,-7.7145393,111.302787
MUSHOLLA BAITUL HIKMAH,Tempat Ibadah,-7.7111196,111.2670764
UMKM "ROMLI SUSU SAPI PERAH",Peternakan Sapi Perah UMKM Susu Sapi Murni,-7.6898654,111.319244
UMKM "CORAH BAROKAH BU MARTINI",UMKM Pangan Pentol Corah,-7.6985393,111.3178382
USAHA TERNAK WARGA "NDOLYMEN FARM",Peternakan Ayam Petelur,-7.6892158,111.3140881
BALAI DESA SELOTINATAH,Fasilitas Umum Desa,-7.6920988,111.3213975
BALAI MASYARAKAT DUKUH BANARAN,Fasilitas Umum Desa,-7.699183,111.318081
EMBUNG DESA SELOTINATAH,Area Pemakaman,-7.686067,111.317
KANTOR DESA SELOTINATAH,Fasilitas Umum Desa,-7.41304,111.19122
POS RONDA DUKUH JATEN,Fasilitas Pengamanan Desa,-7.6894112,111.3162322
POS RONDA DUKUH JLAMPRANG,Fasilitas Pengamanan Desa,-7.6944906,111.305858
POS RONDA BALEASRI-PARANG,Fasilitas Pengamanan Desa,-7.6918034,111.3201898
POS RONDA DANYANG,Fasilitas Pengamanan Desa,-7.7075200,111.3121643
POS RONDA DUKUH TALANG,Fasilitas Pengamanan Desa,-7.688984,111.320068
PUSKESMAS PEMBANTU DUSUN TALANG,Fasilitas Kesehatan Desa,-7.6917111,111.3203102
MAKAM DUSUN TALANG,Area Pemakaman,-7.6868135,111.320633
MAKAM DUKUH NGEMBES,Area Pemakaman,-7.701553,111.317526
ARAH MAKAM DANYANG,Area Pemakaman,-7.7083882,111.3095931
MAKAM NGEMBES,Area Pemakaman,-7.70074,111.31653
MAKAM TALANG,Area Pemakaman,-7.6868082,111.3180581
MAKAM LOR OMAH,Area Pemakaman,-7.691722,111.327497
KAMPUNG KB BKKBN,Area Khusus Program BKKPN,-7.6986210,111.3181798
DAM PUCUNG II,Peraian untuk Daerah Danyang,-7.7053214,111.3103859
MUNUNG MUNUNG DANYANG,Situs Desa,-7.70725,111.31282
KB AR-ROKHIM SEKOLAH RAMAH ANAK,Fasilitas Pendidikan Taman Kanak-kanak,-7.68964,111.31548
JALUR EVAKUASI,Arah Jalur Alternatif Desa,-7.6868999,111.3205907
KANTOR ADVOKAT DAN KONSULTAN HUKUM,Fasilitas Umum Desa,-7.6915915,111.3203434
PERBATASAN DESA RANDUGEDE,Batas Desa Selotinatah,-7.6918065,111.3202049
POSKO NJOWO "GUDANG PERALATAN",Lokasi Penyimpanan Peralatan,-7.698248,111.313117
KUWAT KELOPO,Area Penghasil Kelapa,-7.691854,111.327497
